                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.27364,                0.42833,                0.18239,                0.89679,                0.98878,                0.96292,                 0.9796,                0.97457,                0.98878,                0.96292,                 0.9796,                0.97059,                0.12397,                0.47024,                0.11673,                0.93636,               0.002575,               0.002575,               0.002575
                     77,                0.27608,                0.42162,                0.18184,                0.89163,                0.98862,                0.96401,                0.97995,                0.97505,                0.98862,                0.96401,                0.97995,                0.97121,                0.12533,                0.45495,                0.11311,                0.93715,               0.002476,               0.002476,               0.002476
                     78,                0.27718,                0.42389,                0.18251,                0.89819,                0.98664,                0.96619,                0.97951,                0.97413,                0.98664,                0.96619,                0.97951,                0.97014,                0.12401,                0.42551,                0.11421,                0.93638,               0.002377,               0.002377,               0.002377
                     79,                0.27198,                  0.423,                0.17919,                0.89334,                0.98884,                0.96608,                0.98056,                0.97487,                0.98884,                0.96608,                0.98056,                0.97127,                0.12225,                0.42954,                0.10997,                0.93566,               0.002278,               0.002278,               0.002278
                     80,                0.27485,                 0.4272,                0.18226,                0.89616,                0.98884,                0.96619,                0.97978,                0.97425,                0.98884,                0.96619,                0.97978,                0.97092,                0.12403,                0.44115,                0.11273,                0.93716,               0.002179,               0.002179,               0.002179
                     81,                0.27241,                0.41387,                0.18009,                0.89623,                0.98798,                0.96619,                 0.9786,                0.97316,                0.98798,                0.96619,                 0.9786,                0.96971,                0.12089,                0.45396,                0.11082,                0.93317,                0.00208,                0.00208,                0.00208
                     82,                0.27603,                0.43194,                0.18157,                0.89879,                0.98782,                0.96619,                0.97843,                0.97339,                0.98782,                0.96619,                0.97843,                0.96948,                0.12418,                0.41965,                0.11404,                0.93514,               0.001981,               0.001981,               0.001981
                     83,                0.27381,                0.43239,                0.17947,                0.89687,                0.98662,                 0.9651,                 0.9798,                0.97336,                0.98551,                0.96401,                0.97919,                0.97012,                0.12617,                0.42706,                0.11132,                0.93511,               0.001882,               0.001882,               0.001882
                     84,                0.26723,                0.41867,                0.17593,                0.89488,                0.98665,                0.96701,                0.98017,                0.97484,                0.98554,                0.96592,                0.97956,                0.97072,                 0.1225,                0.43871,                0.11202,                0.93308,               0.001783,               0.001783,               0.001783
                     85,                0.27223,                0.42362,                0.17812,                0.89728,                0.98627,                0.96401,                0.98017,                0.97437,                0.98515,                0.96292,                0.97955,                0.97115,                0.12318,                0.43018,                0.11134,                0.93334,               0.001684,               0.001684,               0.001684
